Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,0.6,0.6,0.6
Class 3,0.6666666666666666,0.4,0.5
Class 4,1.0,1.0,1.0
Class 5,0.75,0.6,0.6666666666666665
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.6,0.7499999999999999
Class 10,0.8333333333333334,1.0,0.9090909090909091
Class 11,0.8333333333333334,1.0,0.9090909090909091
Class 12,0.5555555555555556,1.0,0.7142857142857143
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.8,0.8,0.8000000000000002
Class 16,0.8333333333333334,1.0,0.9090909090909091
Class 17,1.0,1.0,1.0
Class 18,1.0,0.6,0.7499999999999999
Class 19,0.8,0.8,0.8000000000000002
Class 20,0.5714285714285714,0.8,0.6666666666666666
Class 21,1.0,1.0,1.0
Class 22,1.0,1.0,1.0
Class 23,0.8,0.8,0.8000000000000002
Class 24,1.0,0.8,0.888888888888889
Class 25,1.0,1.0,1.0
Class 26,1.0,0.8,0.888888888888889
Class 27,1.0,1.0,1.0
Class 28,0.8333333333333334,1.0,0.9090909090909091
Class 29,0.75,0.6,0.6666666666666665
Class 30,1.0,1.0,1.0
Average,0.8875661375661376,0.8733333333333334,0.870947570947571
