Class,Precision,Recall,F1-Score
Class 1,0.8888888888888888,0.8,0.8421052631578947
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,1.0,0.8,0.8888888888888888
Class 4,0.9090909090909091,1.0,0.9523809523809523
Class 5,1.0,0.9,0.9473684210526315
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.8,0.8888888888888888
Class 10,0.9090909090909091,1.0,0.9523809523809523
Class 11,1.0,1.0,1.0
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.7692307692307693,1.0,0.8695652173913043
Class 16,1.0,0.9,0.9473684210526315
Class 17,1.0,1.0,1.0
Class 18,1.0,0.6,0.75
Class 19,1.0,1.0,1.0
Class 20,1.0,0.9,0.9473684210526315
Class 21,0.8333333333333334,0.5,0.625
Class 22,1.0,0.8,0.8888888888888888
Class 23,0.75,0.9,0.8181818181818182
Class 24,1.0,1.0,1.0
Class 25,0.8333333333333334,1.0,0.9090909090909091
Class 26,0.9090909090909091,1.0,0.9523809523809523
Class 27,0.7692307692307693,1.0,0.8695652173913043
Class 28,0.7692307692307693,1.0,0.8695652173913043
Class 29,0.8888888888888888,0.8,0.8421052631578947
Class 30,0.8888888888888888,0.8,0.8421052631578947
Average,0.9261655011655012,0.9166666666666666,0.9140460258023188
