Class,Precision,Recall,F1-Score
Class 1,0.8333333333333334,1.0,0.9090909090909091
Class 2,0.9,0.9,0.9
Class 3,0.75,0.3,0.42857142857142855
Class 4,1.0,0.9,0.9473684210526315
Class 5,1.0,0.9,0.9473684210526315
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.625,1.0,0.7692307692307693
Class 10,1.0,0.6,0.75
Class 11,1.0,1.0,1.0
Class 12,0.9090909090909091,1.0,0.9523809523809523
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.6666666666666666,1.0,0.8
Class 16,0.8,0.8,0.8
Class 17,1.0,0.9,0.9473684210526315
Class 18,1.0,0.7,0.8235294117647058
Class 19,0.6923076923076923,0.9,0.782608695652174
Class 20,1.0,0.8,0.8888888888888888
Class 21,0.9,0.9,0.9
Class 22,1.0,0.9,0.9473684210526315
Class 23,0.8,0.8,0.8
Class 24,1.0,1.0,1.0
Class 25,1.0,0.9,0.9473684210526315
Class 26,1.0,1.0,1.0
Class 27,0.6666666666666666,1.0,0.8
Class 28,0.8888888888888888,0.8,0.8421052631578947
Class 29,0.9,0.9,0.9
Class 30,0.8888888888888888,0.8,0.8421052631578947
Average,0.907361434861435,0.8899999999999999,0.887511789571959
