Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,0.9,0.9,0.9
Class 3,0.875,0.7,0.7777777777777778
Class 4,1.0,1.0,1.0
Class 5,0.9,0.9,0.9
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.9,0.9473684210526315
Class 10,0.6666666666666666,0.6,0.631578947368421
Class 11,0.9090909090909091,1.0,0.9523809523809523
Class 12,0.9090909090909091,1.0,0.9523809523809523
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.7272727272727273,0.8,0.7619047619047619
Class 16,0.75,0.9,0.8181818181818182
Class 17,0.9090909090909091,1.0,0.9523809523809523
Class 18,1.0,0.8,0.8888888888888888
Class 19,0.9,0.9,0.9
Class 20,0.7142857142857143,1.0,0.8333333333333334
Class 21,1.0,0.7,0.8235294117647058
Class 22,1.0,0.9,0.9473684210526315
Class 23,0.9,0.9,0.9
Class 24,1.0,1.0,1.0
Class 25,0.9090909090909091,1.0,0.9523809523809523
Class 26,1.0,1.0,1.0
Class 27,0.9090909090909091,1.0,0.9523809523809523
Class 28,1.0,1.0,1.0
Class 29,1.0,0.8,0.8888888888888888
Class 30,1.0,1.0,1.0
Average,0.9292893217893218,0.9233333333333333,0.9226908477372874
