Class,Precision,Recall,F1-Score
Class 1,0.8333333333333334,1.0,0.9090909090909091
Class 2,0.9,0.9,0.9
Class 3,0.8571428571428571,0.6,0.7058823529411765
Class 4,1.0,1.0,1.0
Class 5,1.0,0.8,0.8888888888888888
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.9,0.9,0.9
Class 10,0.9090909090909091,1.0,0.9523809523809523
Class 11,0.9090909090909091,1.0,0.9523809523809523
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,0.9090909090909091,1.0,0.9523809523809523
Class 14,1.0,1.0,1.0
Class 15,0.9,0.9,0.9
Class 16,0.9090909090909091,1.0,0.9523809523809523
Class 17,1.0,1.0,1.0
Class 18,1.0,0.6,0.75
Class 19,1.0,1.0,1.0
Class 20,0.75,0.9,0.8181818181818182
Class 21,1.0,0.9,0.9473684210526315
Class 22,1.0,0.8,0.8888888888888888
Class 23,0.9,0.9,0.9
Class 24,0.9090909090909091,1.0,0.9523809523809523
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,0.9090909090909091,1.0,0.9523809523809523
Class 28,0.9,0.9,0.9
Class 29,0.8,0.8,0.8
Class 30,1.0,1.0,1.0
Average,0.9342784992784993,0.93,0.9277225967473645
