Class,Precision,Recall,F1-Score
Class 1,0.7142857142857143,1.0,0.8333333333333333
Class 2,0.8,0.8,0.8000000000000002
Class 3,0.7142857142857143,1.0,0.8333333333333333
Class 4,0.7142857142857143,1.0,0.8333333333333333
Class 5,1.0,1.0,1.0
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.8,0.888888888888889
Class 10,1.0,0.8,0.888888888888889
Class 11,1.0,1.0,1.0
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.8333333333333334,1.0,0.9090909090909091
Class 16,1.0,1.0,1.0
Class 17,1.0,1.0,1.0
Class 18,1.0,0.8,0.888888888888889
Class 19,1.0,0.8,0.888888888888889
Class 20,1.0,0.8,0.888888888888889
Class 21,0.5,1.0,0.6666666666666666
Class 22,1.0,0.6,0.7499999999999999
Class 23,1.0,0.8,0.888888888888889
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,1.0,0.8,0.888888888888889
Class 28,1.0,1.0,1.0
Class 29,1.0,1.0,1.0
Class 30,1.0,0.4,0.5714285714285715
Average,0.9425396825396827,0.9133333333333333,0.9139802789802791
