Class,Precision,Recall,F1-Score
Class 1,0.8333333333333334,1.0,0.9090909090909091
Class 2,1.0,0.8,0.888888888888889
Class 3,1.0,0.4,0.5714285714285715
Class 4,1.0,0.8,0.888888888888889
Class 5,1.0,1.0,1.0
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.7142857142857143,1.0,0.8333333333333333
Class 10,0.8,0.8,0.8000000000000002
Class 11,1.0,1.0,1.0
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.7142857142857143,1.0,0.8333333333333333
Class 16,0.8,0.8,0.8000000000000002
Class 17,1.0,1.0,1.0
Class 18,0.5,0.6,0.5454545454545454
Class 19,0.8333333333333334,1.0,0.9090909090909091
Class 20,0.5,0.8,0.6153846153846154
Class 21,1.0,0.4,0.5714285714285715
Class 22,1.0,0.8,0.888888888888889
Class 23,1.0,0.8,0.888888888888889
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,1.0,1.0,1.0
Class 28,1.0,1.0,1.0
Class 29,0.75,0.6,0.6666666666666665
Class 30,1.0,1.0,1.0
Average,0.9092857142857143,0.8866666666666667,0.8839952639952641
