Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,1.0,0.9,0.9473684210526315
Class 3,0.8,0.8,0.8
Class 4,1.0,0.9,0.9473684210526315
Class 5,0.9,0.9,0.9
Class 6,0.9090909090909091,1.0,0.9523809523809523
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,1.0,1.0
Class 10,0.7777777777777778,0.7,0.7368421052631579
Class 11,0.8333333333333334,1.0,0.9090909090909091
Class 12,1.0,1.0,1.0
Class 13,0.9090909090909091,1.0,0.9523809523809523
Class 14,1.0,1.0,1.0
Class 15,0.7692307692307693,1.0,0.8695652173913043
Class 16,1.0,1.0,1.0
Class 17,0.9090909090909091,1.0,0.9523809523809523
Class 18,1.0,0.9,0.9473684210526315
Class 19,1.0,0.9,0.9473684210526315
Class 20,1.0,1.0,1.0
Class 21,0.8888888888888888,0.8,0.8421052631578947
Class 22,1.0,0.9,0.9473684210526315
Class 23,0.8,0.8,0.8
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,0.9090909090909091,1.0,0.9523809523809523
Class 28,0.9090909090909091,1.0,0.9523809523809523
Class 29,0.8888888888888888,0.8,0.8421052631578947
Class 30,1.0,0.8,0.8888888888888888
Average,0.9401191401191401,0.9366666666666668,0.9362448171372656
