Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,0.7142857142857143,1.0,0.8333333333333333
Class 3,1.0,0.6,0.7499999999999999
Class 4,1.0,0.8,0.888888888888889
Class 5,1.0,0.8,0.888888888888889
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,1.0,1.0
Class 10,0.75,0.6,0.6666666666666665
Class 11,1.0,1.0,1.0
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.5,0.6,0.5454545454545454
Class 16,0.7142857142857143,1.0,0.8333333333333333
Class 17,1.0,0.8,0.888888888888889
Class 18,0.8,0.8,0.8000000000000002
Class 19,0.5,0.6,0.5454545454545454
Class 20,0.6666666666666666,0.8,0.7272727272727272
Class 21,1.0,0.8,0.888888888888889
Class 22,1.0,0.8,0.888888888888889
Class 23,0.4,0.8,0.5333333333333333
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,0.8,0.888888888888889
Class 27,1.0,1.0,1.0
Class 28,1.0,1.0,1.0
Class 29,1.0,0.6,0.7499999999999999
Class 30,1.0,0.8,0.888888888888889
Average,0.9015079365079365,0.8666666666666668,0.8735690235690236
