fold,loss,accuracy,precision,recall,f1
1,0.5379983673276576,0.8733333333333333,0.8909854959854959,0.8733333333333333,0.8720960669130006
2,0.7128842985502591,0.8266666666666667,0.8431876456876456,0.8266666666666667,0.8231125811441464
3,0.53514965379145,0.89,0.8930809005809006,0.89,0.8862921502650941
4,0.5407567929697076,0.8633333333333333,0.8712518962518963,0.8633333333333333,0.8586274783357162
5,0.6513064117293412,0.85,0.8663864349158468,0.85,0.8418327693944644
