Class,Precision,Recall,F1-Score
Class 1,0.6923076923076923,0.9,0.782608695652174
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,0.8888888888888888,0.8,0.8421052631578947
Class 4,1.0,0.7,0.8235294117647058
Class 5,0.6923076923076923,0.9,0.782608695652174
Class 6,0.9090909090909091,1.0,0.9523809523809523
Class 7,1.0,1.0,1.0
Class 8,1.0,0.9,0.9473684210526315
Class 9,0.9090909090909091,1.0,0.9523809523809523
Class 10,0.6666666666666666,0.8,0.7272727272727273
Class 11,1.0,0.9,0.9473684210526315
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.8181818181818182,0.9,0.8571428571428571
Class 16,0.9090909090909091,1.0,0.9523809523809523
Class 17,1.0,1.0,1.0
Class 18,0.8,0.8,0.8
Class 19,0.9090909090909091,1.0,0.9523809523809523
Class 20,0.5833333333333334,0.7,0.6363636363636364
Class 21,1.0,0.7,0.8235294117647058
Class 22,1.0,0.5,0.6666666666666666
Class 23,0.8,0.8,0.8
Class 24,0.9090909090909091,1.0,0.9523809523809523
Class 25,0.9090909090909091,1.0,0.9523809523809523
Class 26,1.0,1.0,1.0
Class 27,0.6428571428571429,0.9,0.75
Class 28,1.0,0.7,0.8235294117647058
Class 29,0.8571428571428571,0.6,0.7058823529411765
Class 30,1.0,0.7,0.8235294117647058
Average,0.890985495985496,0.8733333333333332,0.8720960669130006
