Class,Precision,Recall,F1-Score
Class 1,0.9090909090909091,1.0,0.9523809523809523
Class 2,0.8888888888888888,0.8,0.8421052631578947
Class 3,1.0,0.5,0.6666666666666666
Class 4,0.9090909090909091,1.0,0.9523809523809523
Class 5,0.9,0.9,0.9
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.7142857142857143,1.0,0.8333333333333334
Class 10,0.5,0.3,0.375
Class 11,0.7692307692307693,1.0,0.8695652173913043
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.8181818181818182,0.9,0.8571428571428571
Class 16,0.75,0.9,0.8181818181818182
Class 17,0.9,0.9,0.9
Class 18,0.6666666666666666,0.8,0.7272727272727273
Class 19,0.5833333333333334,0.7,0.6363636363636364
Class 20,0.7,0.7,0.7
Class 21,1.0,0.6,0.75
Class 22,1.0,0.8,0.8888888888888888
Class 23,0.6363636363636364,0.7,0.6666666666666666
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,0.9,0.9473684210526315
Class 27,0.9090909090909091,1.0,0.9523809523809523
Class 28,0.8333333333333334,1.0,0.9090909090909091
Class 29,0.75,0.6,0.6666666666666666
Class 30,1.0,0.9,0.9473684210526315
Average,0.8712518962518964,0.8633333333333333,0.8586274783357163
