Class,Precision,Recall,F1-Score
Class 1,1.0,0.9,0.9473684210526315
Class 2,0.8181818181818182,0.9,0.8571428571428571
Class 3,0.8,0.8,0.8
Class 4,0.75,0.9,0.8181818181818182
Class 5,0.8333333333333334,1.0,0.9090909090909091
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.6,0.75
Class 10,0.8181818181818182,0.9,0.8571428571428571
Class 11,1.0,1.0,1.0
Class 12,0.7692307692307693,1.0,0.8695652173913043
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.8,0.8,0.8
Class 16,1.0,1.0,1.0
Class 17,1.0,1.0,1.0
Class 18,0.7142857142857143,0.5,0.5882352941176471
Class 19,0.9,0.9,0.9
Class 20,0.9,0.9,0.9
Class 21,0.8888888888888888,0.8,0.8421052631578947
Class 22,1.0,0.9,0.9473684210526315
Class 23,0.75,0.9,0.8181818181818182
Class 24,1.0,1.0,1.0
Class 25,0.9090909090909091,1.0,0.9523809523809523
Class 26,1.0,1.0,1.0
Class 27,0.75,0.9,0.8181818181818182
Class 28,0.9090909090909091,1.0,0.9523809523809523
Class 29,0.625,0.5,0.5555555555555556
Class 30,0.8571428571428571,0.6,0.7058823529411765
Average,0.8930809005809006,0.89,0.8862921502650941
