Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,1.0,0.8,0.8888888888888888
Class 3,0.6666666666666666,0.4,0.5
Class 4,0.5714285714285714,0.8,0.6666666666666666
Class 5,1.0,1.0,1.0
Class 6,0.8333333333333334,1.0,0.9090909090909091
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.8333333333333334,1.0,0.9090909090909091
Class 10,0.3333333333333333,0.4,0.36363636363636365
Class 11,0.8,0.8,0.8
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.6666666666666666,0.4,0.5
Class 16,0.7142857142857143,1.0,0.8333333333333334
Class 17,1.0,1.0,1.0
Class 18,0.6666666666666666,0.8,0.7272727272727273
Class 19,0.8,0.8,0.8
Class 20,0.5,0.8,0.6153846153846154
Class 21,0.8,0.8,0.8
Class 22,1.0,1.0,1.0
Class 23,0.5,0.6,0.5454545454545454
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,0.8,0.8888888888888888
Class 27,0.8333333333333334,1.0,0.9090909090909091
Class 28,0.8333333333333334,1.0,0.9090909090909091
Class 29,0.5,0.2,0.2857142857142857
Class 30,0.0,0.0,0.0
Average,0.7950793650793649,0.8133333333333332,0.7950534650534651
