Class,Precision,Recall,F1-Score
Class 1,1.0,0.4,0.5714285714285714
Class 2,1.0,0.6,0.75
Class 3,0.5,0.4,0.4444444444444444
Class 4,0.4,0.4,0.4
Class 5,0.6,0.6,0.6
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.8,0.8,0.8
Class 10,0.75,0.6,0.6666666666666666
Class 11,1.0,1.0,1.0
Class 12,0.625,1.0,0.7692307692307693
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,1.0,0.4,0.5714285714285714
Class 16,0.5,1.0,0.6666666666666666
Class 17,1.0,1.0,1.0
Class 18,0.6666666666666666,0.4,0.5
Class 19,0.7142857142857143,1.0,0.8333333333333334
Class 20,0.5,0.2,0.2857142857142857
Class 21,0.5,0.4,0.4444444444444444
Class 22,0.625,1.0,0.7692307692307693
Class 23,0.3333333333333333,0.2,0.25
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,0.5714285714285714,0.8,0.6666666666666666
Class 27,0.8333333333333334,1.0,0.9090909090909091
Class 28,0.5555555555555556,1.0,0.7142857142857143
Class 29,0.375,0.6,0.46153846153846156
Class 30,0.0,0.0,0.0
Average,0.7283201058201059,0.7266666666666667,0.7024723424723425
