Class,Precision,Recall,F1-Score
Class 1,0.6666666666666666,0.8,0.7272727272727273
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,0.75,0.6,0.6666666666666666
Class 4,1.0,1.0,1.0
Class 5,0.6666666666666666,0.8,0.7272727272727273
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.6666666666666666,0.4,0.5
Class 10,0.6666666666666666,0.4,0.5
Class 11,1.0,1.0,1.0
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,1.0,1.0,1.0
Class 14,0.8,0.8,0.8
Class 15,0.625,1.0,0.7692307692307693
Class 16,0.7142857142857143,1.0,0.8333333333333334
Class 17,0.8,0.8,0.8
Class 18,1.0,0.6,0.75
Class 19,0.8333333333333334,1.0,0.9090909090909091
Class 20,0.3333333333333333,0.6,0.42857142857142855
Class 21,0.6,0.6,0.6
Class 22,0.8,0.8,0.8
Class 23,0.5,0.4,0.4444444444444444
Class 24,1.0,1.0,1.0
Class 25,0.8,0.8,0.8
Class 26,1.0,1.0,1.0
Class 27,0.7142857142857143,1.0,0.8333333333333334
Class 28,1.0,0.8,0.8888888888888888
Class 29,0.6666666666666666,0.4,0.5
Class 30,0.0,0.0,0.0
Average,0.7756746031746033,0.7866666666666667,0.7698762348762348
