Class,Precision,Recall,F1-Score
Class 1,0.8,0.8,0.8
Class 2,0.8,0.8,0.8
Class 3,1.0,0.6,0.75
Class 4,0.8,0.8,0.8
Class 5,0.8,0.8,0.8
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,0.5714285714285714,0.8,0.6666666666666666
Class 10,0.5,0.8,0.6153846153846154
Class 11,1.0,1.0,1.0
Class 12,1.0,0.8,0.8888888888888888
Class 13,0.8333333333333334,1.0,0.9090909090909091
Class 14,1.0,1.0,1.0
Class 15,1.0,1.0,1.0
Class 16,1.0,1.0,1.0
Class 17,1.0,1.0,1.0
Class 18,0.5,0.4,0.4444444444444444
Class 19,1.0,1.0,1.0
Class 20,0.5,0.4,0.4444444444444444
Class 21,0.75,0.6,0.6666666666666666
Class 22,0.8333333333333334,1.0,0.9090909090909091
Class 23,0.5555555555555556,1.0,0.7142857142857143
Class 24,1.0,1.0,1.0
Class 25,1.0,0.8,0.8888888888888888
Class 26,0.8,0.8,0.8
Class 27,1.0,1.0,1.0
Class 28,0.8333333333333334,1.0,0.9090909090909091
Class 29,0.4,0.4,0.4
Class 30,0.0,0.0,0.0
Average,0.8092328042328042,0.8200000000000001,0.806898101898102
