Class,Precision,Recall,F1-Score
Class 1,0.5,1.0,0.6666666666666666
Class 2,0.6666666666666666,0.8,0.7272727272727273
Class 3,0.6666666666666666,0.8,0.7272727272727273
Class 4,0.8,0.8,0.8
Class 5,1.0,1.0,1.0
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.6,0.75
Class 10,1.0,1.0,1.0
Class 11,1.0,1.0,1.0
Class 12,1.0,1.0,1.0
Class 13,0.8333333333333334,1.0,0.9090909090909091
Class 14,1.0,1.0,1.0
Class 15,0.5,0.8,0.6153846153846154
Class 16,1.0,0.8,0.8888888888888888
Class 17,1.0,1.0,1.0
Class 18,1.0,0.8,0.8888888888888888
Class 19,1.0,1.0,1.0
Class 20,0.6666666666666666,0.8,0.7272727272727273
Class 21,1.0,0.6,0.75
Class 22,1.0,0.6,0.75
Class 23,0.36363636363636365,0.8,0.5
Class 24,1.0,1.0,1.0
Class 25,1.0,0.4,0.5714285714285714
Class 26,1.0,1.0,1.0
Class 27,1.0,0.8,0.8888888888888888
Class 28,1.0,0.8,0.8888888888888888
Class 29,1.0,1.0,1.0
Class 30,0.0,0.0,0.0
Average,0.8665656565656565,0.8400000000000001,0.83499814999815
