Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,0.5555555555555556,1.0,0.7142857142857143
Class 3,1.0,0.6,0.75
Class 4,0.7142857142857143,1.0,0.8333333333333334
Class 5,0.6666666666666666,0.4,0.5
Class 6,0.8333333333333334,1.0,0.9090909090909091
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,0.6,0.75
Class 10,1.0,0.4,0.5714285714285714
Class 11,1.0,1.0,1.0
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,0.4,0.4,0.4
Class 16,0.8,0.8,0.8
Class 17,1.0,1.0,1.0
Class 18,0.6666666666666666,0.4,0.5
Class 19,0.8,0.8,0.8
Class 20,1.0,0.6,0.75
Class 21,0.16666666666666666,0.4,0.23529411764705882
Class 22,1.0,1.0,1.0
Class 23,0.2222222222222222,0.4,0.2857142857142857
Class 24,1.0,1.0,1.0
Class 25,1.0,1.0,1.0
Class 26,1.0,1.0,1.0
Class 27,0.8333333333333334,1.0,0.9090909090909091
Class 28,1.0,1.0,1.0
Class 29,0.75,0.6,0.6666666666666666
Class 30,0.0,0.0,0.0
Average,0.8136243386243386,0.7799999999999999,0.7791634835752482
