Class,Precision,Recall,F1-Score
Class 1,1.0,1.0,1.0
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,0.8333333333333334,1.0,0.9090909090909091
Class 4,1.0,0.8,0.8888888888888888
Class 5,1.0,1.0,1.0
Class 6,1.0,1.0,1.0
Class 7,0.8333333333333334,1.0,0.9090909090909091
Class 8,1.0,1.0,1.0
Class 9,1.0,0.4,0.5714285714285714
Class 10,0.8,0.8,0.8
Class 11,1.0,1.0,1.0
Class 12,0.8333333333333334,1.0,0.9090909090909091
Class 13,1.0,1.0,1.0
Class 14,0.8333333333333334,1.0,0.9090909090909091
Class 15,0.8333333333333334,1.0,0.9090909090909091
Class 16,0.8333333333333334,1.0,0.9090909090909091
Class 17,1.0,1.0,1.0
Class 18,1.0,1.0,1.0
Class 19,1.0,0.8,0.8888888888888888
Class 20,0.38461538461538464,1.0,0.5555555555555556
Class 21,0.5,0.8,0.6153846153846154
Class 22,1.0,0.6,0.75
Class 23,1.0,0.2,0.3333333333333333
Class 24,1.0,0.8,0.8888888888888888
Class 25,1.0,1.0,1.0
Class 26,0.8333333333333334,1.0,0.9090909090909091
Class 27,0.8,0.8,0.8
Class 28,1.0,0.8,0.8888888888888888
Class 29,1.0,0.8,0.8888888888888888
Class 30,0.0,0.0,0.0
Average,0.8717094017094017,0.8533333333333334,0.8380957930957932
