Class,Precision,Recall,F1-Score
Class 1,0.6666666666666666,0.4,0.5
Class 2,0.8333333333333334,1.0,0.9090909090909091
Class 3,1.0,0.4,0.5714285714285714
Class 4,0.8333333333333334,1.0,0.9090909090909091
Class 5,1.0,0.8,0.8888888888888888
Class 6,1.0,1.0,1.0
Class 7,1.0,1.0,1.0
Class 8,1.0,1.0,1.0
Class 9,1.0,1.0,1.0
Class 10,0.3333333333333333,0.2,0.25
Class 11,0.8333333333333334,1.0,0.9090909090909091
Class 12,1.0,1.0,1.0
Class 13,1.0,1.0,1.0
Class 14,1.0,1.0,1.0
Class 15,1.0,0.2,0.3333333333333333
Class 16,0.7142857142857143,1.0,0.8333333333333334
Class 17,0.8333333333333334,1.0,0.9090909090909091
Class 18,0.42857142857142855,0.6,0.5
Class 19,1.0,0.8,0.8888888888888888
Class 20,0.4,0.4,0.4
Class 21,0.4444444444444444,0.8,0.5714285714285714
Class 22,0.5,0.6,0.5454545454545454
Class 23,0.5,0.8,0.6153846153846154
Class 24,1.0,1.0,1.0
Class 25,1.0,0.8,0.8888888888888888
Class 26,0.8,0.8,0.8
Class 27,0.7142857142857143,1.0,0.8333333333333334
Class 28,0.625,1.0,0.7692307692307693
Class 29,1.0,0.6,0.75
Class 30,0.0,0.0,0.0
Average,0.7819973544973545,0.7733333333333334,0.7525319125319125
